id	submission_id	user	username	userImageURL	downloadURL	hyperparameter	description	result	last	final	EM	F1
58	21103	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000031/Users/00000124/Submissions/0058/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210522%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210522T133433Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=e73031511d4299a85ccccdcc214f01b5e9f3a3f27caef99eddad5bdf78a4dd2e"	"{\"training\": {}, \"inference\": {}}"	""	"{\"EM\": {\"value\": \"59.58%\", \"rank\": true, \"decs\": true}, \"F1\": {\"value\": \"72.27%\", \"rank\": false, \"decs\": true}}"	"2021-05-20T18:58:31.694998+09:00"	true	"59.58%"	"72.27%"
60	21259	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000031/Users/00000124/Submissions/0060/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210522%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210522T133433Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=c1757b1cc08d6860e2a8923e77bc3e573da44f128e6884a58fdaf84b2bdc3d87"	"{\"training\": {}, \"inference\": {}}"	"hard ensemble"	"{\"EM\": {\"value\": \"59.58%\", \"rank\": true, \"decs\": true}, \"F1\": {\"value\": \"71.82%\", \"rank\": false, \"decs\": true}}"	"2021-05-20T20:24:42.887687+09:00"	false	"59.58%"	"71.82%"
61	21298	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000031/Users/00000124/Submissions/0061/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210522%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210522T133433Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=cb2e6b4343972b1ef2bde945106f939e9aae0680846549229eeca8b987b74bd4"	"{\"training\": {}, \"inference\": {}}"	"조사 떼기 전"	"{\"EM\": {\"value\": \"59.58%\", \"rank\": true, \"decs\": true}, \"F1\": {\"value\": \"72.39%\", \"rank\": false, \"decs\": true}}"	"2021-05-20T20:29:05.815632+09:00"	false	"59.58%"	"72.39%"
57	20744	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000031/Users/00000124/Submissions/0057/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210522%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210522T133433Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=eb4b7aab65df2aa560cda585d9fecdd02cb476636cf4adbbdbd108310f273ef2"	"{\"training\": {}, \"inference\": {}}"	"before remove query"	"{\"EM\": {\"value\": \"55.83%\", \"rank\": true, \"decs\": true}, \"F1\": {\"value\": \"68.62%\", \"rank\": false, \"decs\": true}}"	"2021-05-20T18:06:10.743301+09:00"	false	"55.83%"	"68.62%"
56	20720	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000031/Users/00000124/Submissions/0056/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210522%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210522T133433Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=31393f0b6b6ef3942293ed0adb89978f08df9e4eebc18e60d08208a1c02c6493"	"{\"training\": {}, \"inference\": {}}"	"ensemble   조사제거"	"{\"EM\": {\"value\": \"55.00%\", \"rank\": true, \"decs\": true}, \"F1\": {\"value\": \"67.70%\", \"rank\": false, \"decs\": true}}"	"2021-05-20T17:59:09.450234+09:00"	false	"55.00%"	"67.70%"
35	17477	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000031/Users/00000124/Submissions/0035/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210522%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210522T133433Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=eda307c253b0686eb95587a805cf02f12f73a9945f4c44f08001ced2a165cdee"	"{\"training\": {}, \"inference\": {}}"	"도윤님 후처리"	"{\"EM\": {\"value\": \"50.42%\", \"rank\": true, \"decs\": true}, \"F1\": {\"value\": \"62.58%\", \"rank\": false, \"decs\": true}}"	"2021-05-13T03:42:55.415370+09:00"	false	"50.42%"	"62.58%"
42	18727	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000031/Users/00000124/Submissions/0042/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210522%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210522T133433Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=6a68ee73e0e0b36bdbca93bc3aae299f500fbb345b582794ab77ec55919c97de"	"{\"training\": {}, \"inference\": {}}"	"batch8 63.3 71.9 -> top3 elastic"	"{\"EM\": {\"value\": \"50.42%\", \"rank\": true, \"decs\": true}, \"F1\": {\"value\": \"63.47%\", \"rank\": false, \"decs\": true}}"	"2021-05-17T00:58:36.767126+09:00"	false	"50.42%"	"63.47%"
43	18728	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000031/Users/00000124/Submissions/0043/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210522%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210522T133433Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=9962c145375c494ad0deff062cdcbae2212874917099ff00e2877b30097e89c6"	"{\"training\": {}, \"inference\": {}}"	"batch8 63.3 71.9 -> top2 elastic"	"{\"EM\": {\"value\": \"50.42%\", \"rank\": true, \"decs\": true}, \"F1\": {\"value\": \"63.47%\", \"rank\": false, \"decs\": true}}"	"2021-05-17T01:04:13.585380+09:00"	false	"50.42%"	"63.47%"
47	19135	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000031/Users/00000124/Submissions/0047/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210522%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210522T133433Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=7946f46c10b63560cf4c3199235ff4aa98e771454a35612fba682558e8f06ae0"	"{\"training\": {}, \"inference\": {}}"	"도윤님   elastic top3"	"{\"EM\": {\"value\": \"50.42%\", \"rank\": true, \"decs\": true}, \"F1\": {\"value\": \"64.22%\", \"rank\": false, \"decs\": true}}"	"2021-05-18T01:10:35.595783+09:00"	false	"50.42%"	"64.22%"
28	16981	124	"정근영_T1185"	"https://aistages-public-junyeop.s3.ap-northeast-2.amazonaws.com/app/Etc/blank_user.svg"	"https://prod-aistages-private.s3.amazonaws.com/app/Competitions/000031/Users/00000124/Submissions/0028/output.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA45LU4MHUJ7WLDQVO%2F20210522%2Fap-northeast-2%2Fs3%2Faws4_request&X-Amz-Date=20210522T133433Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=9f7cedfd40b951356a24413e2c642096aa05064312cb74dc923b632fed02cca9"	"{\"training\": {}, \"inference\": {}}"	"koelectra-korquad em 62 f1 71top3"	"{\"EM\": {\"value\": \"50.00%\", \"rank\": true, \"decs\": true}, \"F1\": {\"value\": \"62.65%\", \"rank\": false, \"decs\": true}}"	"2021-05-11T15:40:12.814289+09:00"	false	"50.00%"	"62.65%"
